Date,sentiment,sentiment_label,Open,High,Low,Close,Volume
2018-03-09,37,Fear,9411.715540851,9479.824937494,8497.330821622,9345.521676052,4328631178.029565
2018-03-10,39,Fear,9339.626812522,9525.484269799,8821.456070162,8894.85712022,4505811284.202061
2018-03-11,40,Fear,8856.718881049,9704.329233795,8581.458152794,9570.367448236,4665413193.991818
2018-03-12,41,Fear,9557.854232694,9893.08361319,8803.801209847,9216.378705589,5058109366.785478
2018-03-13,41,Fear,9179.776981508,9481.70819159,8948.052187409,9208.440502074,5095834459.8423
2018-03-14,40,Fear,9206.908110717,9352.331545373,8036.245910917,8262.032897029,4034218467.208438
2018-03-15,32,Fear,8255.725415537,8417.992103622,7750.225412497,8291.944665773,5294581212.122477
2018-03-16,33,Fear,8302.595689134,8570.713787447,7982.803113989,8315.139162841,4153900849.217639
2018-03-17,31,Fear,8294.104092354,8325.924047407,7795.179879926,7906.383969743,4224100753.480192
2018-03-18,29,Fear,7912.658935325,8232.483152026,7364.223838206,8092.439641691,4628590454.301849
2018-03-19,29,Fear,8195.616341537,8662.302735016,8153.675879633,8588.661985749,5074015987.8789
2018-03-20,37,Fear,8620.287305561,9045.588197675,8369.279766327,8892.783654103,4501108575.652147
2018-03-21,36,Fear,8907.399598381,9173.541313476,8862.636693779,8978.018989541,4432036552.374764
2018-03-22,36,Fear,8970.660358236,9104.403920285,8570.975758139,8721.57,3735442600.6573567
2018-03-23,28,Fear,8728.47,8865.051157414,8342.776072565,8865.051157414,4026875184.2475977
2018-03-24,32,Fear,8923.404782927,9002.746568517,8634.654030499,8661.018753079,3067943937.3540545
2018-03-25,30,Fear,8554.421564965,8680.428839237,8425.566950814,8466.556129044,3029683211.9522142
2018-03-26,31,Fear,8453.806862484,8522.628689775,7907.885470135,8187.383924464,2833668579.5105386
2018-03-27,24,Extreme Fear,8171.701764094,8210.957189012,7786.080921586,7828.22173159,3702257445.232483
2018-03-28,24,Extreme Fear,7821.605869561,8097.640956816,7791.30308437,7954.826953349,3173707435.987881
2018-03-29,18,Extreme Fear,7947.62755735,7976.070834878,7010.869710712,7178.058622813,3386756377.237025
2018-03-30,12,Extreme Fear,7154.016617403,7256.653696904,6665.141403198,6880.453143775,4781184232.5155115
2018-03-31,16,Extreme Fear,6875.890211418,7188.225640209,6842.08021798,6955.124517538,4072365790.6569343
2018-04-01,16,Extreme Fear,6959.890619635,7054.477479687,6506.022091086,6830.630577316,3598865261.866427
2018-04-02,11,Extreme Fear,6841.725764416,7116.9356845,6806.530092794,7061.622525898,3914063316.877072
2018-04-03,22,Extreme Fear,7066.360264855,7521.805049919,7053.685669768,7454.691790393,4155294223.941801
2018-04-04,22,Extreme Fear,7454.194480807,7454.194480807,6791.910366522,6840.936109893,4231706034.988416
2018-04-05,17,Extreme Fear,6844.005785453,6936.155483977,6651.188593663,6819.726657106,4403251763.522565
2018-04-06,19,Extreme Fear,6796.855663533,6869.360103371,6601.406734071,6637.296686235,3711281114.355923
2018-04-07,20,Extreme Fear,6640.309470519,7037.930491344,6637.54156298,6894.151859073,3240556397.7189403
2018-04-08,17,Extreme Fear,6898.345032954,7076.715293438,6898.345032954,7000.923354625,3056918181.447544
2018-04-09,21,Extreme Fear,7013.715303761,7155.497903783,6663.30851726,6772.871609032,3560325736.664332
2018-04-10,18,Extreme Fear,6782.532082976,6876.318024906,6710.130736696,6844.301557074,3585817439.024414
2018-04-11,20,Extreme Fear,6845.560832212,6946.72149145,6832.638659323,6932.843296341,3484554527.3703055
2018-04-12,18,Extreme Fear,6933.971966124,7824.357865721,6788.545634357,7821.822516784,5569495530.073335
2018-04-13,23,Extreme Fear,7821.364048725,8124.051804321,7698.959083191,7866.931622664,7108692314.5582285
2018-04-17,26,Fear,8042.520382416,8126.352751841,7856.158341611,7889.503630474,4617797211.778915
2018-04-18,24,Extreme Fear,7898.148906651,8168.591183808,7888.236331363,8133.862763488,5174175282.725691
2018-04-19,25,Extreme Fear,8137.721564119,8284.837636099,8108.010267689,8280.643109928,5571921609.662269
2018-04-20,26,Fear,8279.071885016,8872.53251671,8247.720146658,8813.044081412,5856252722.490644
2018-04-21,32,Fear,8831.324167528,8961.90220134,8631.505469677,8884.348603911,6592572345.596165
2018-04-22,31,Fear,8890.882431127,8959.354943453,8766.335741868,8787.210205792,5388898212.038859
2018-04-23,28,Fear,8785.307707704,8966.254422322,8775.238204718,8924.023356307,5577263962.682184
2018-04-24,29,Fear,8927.498952717,9715.110087646,8924.774677074,9715.110087646,7015588899.813644
2018-04-25,64,Greed,9689.429015472,9745.085959592,8828.361916339,8846.751894883,9496007199.258211
2018-04-26,47,Neutral,8858.958858584,9274.510917015,8698.795549002,9268.527836866,7840135344.800649
2018-04-27,55,Greed,9272.68850891,9364.296827707,8970.449550854,8974.089790534,6420471433.755679
2018-04-28,54,Neutral,8945.682032015,9402.661887865,8905.423788527,9337.281362637,6044135769.568152
2018-04-29,61,Greed,9337.929478299,9519.119728571,9194.490547479,9413.40930469,6578695509.1461735
2018-04-30,59,Greed,9412.933156562,9463.94025988,9173.147998396,9240.335679495,6189381726.745168
2018-05-01,56,Greed,9253.083882874,9253.083882874,8881.779113875,9096.810021871,6156448195.898472
2018-05-02,52,Neutral,9084.637928461,9244.47783939,8996.732769032,9236.704388957,4980811639.294956
2018-05-03,55,Greed,9236.410635499,9807.420823607,9186.736181493,9769.29029264,6010894136.378407
2018-05-04,56,Greed,9758.94385267,9790.00623478,9597.486912472,9718.724265271,6816067136.573046
2018-05-05,63,Greed,9714.030902412,9972.750074274,9708.097850641,9864.060648696,5831668636.078925
